,Date,Low,High,Close,Open
195,2021-07-12,22.88,23.495,22.95,23.26
194,2021-07-09,22.76,23.39,23.29,22.96
193,2021-07-08,22.25,23.21,23.08,22.43
192,2021-07-07,22.72,24.26,22.89,24.23
191,2021-07-06,24.47,25.2,24.68,24.6
190,2021-07-02,24.33,25.34,24.44,25.0
189,2021-07-01,24.59,26.13,24.72,26.1
188,2021-06-30,26.21,26.92,26.36,26.48
187,2021-06-29,26.44,27.44,26.63,27.38
186,2021-06-28,26.86,27.5,27.38,26.98
185,2021-06-25,26.245,27.01,26.78,26.58
184,2021-06-24,26.17,26.71,26.53,26.49
183,2021-06-23,25.34,26.35,26.27,25.46
182,2021-06-22,24.96,25.52,25.4,25.39
181,2021-06-21,24.51,25.55,25.42,25.1
180,2021-06-18,25.02,25.94,25.37,25.59
179,2021-06-17,24.55,25.46,25.45,24.68
178,2021-06-16,23.86,24.94,24.8,24.09
177,2021-06-15,24.39,25.55,24.41,25.03
176,2021-06-14,24.47,25.15,25.0,24.73
175,2021-06-11,24.03,24.71,24.67,24.12
174,2021-06-10,23.44,24.39,24.14,24.0
173,2021-06-09,24.17,24.74,24.17,24.45
172,2021-06-08,23.93,25.23,24.38,24.85
171,2021-06-07,23.79,24.76,24.46,24.0
170,2021-06-04,23.5,24.49,24.03,23.71
169,2021-06-03,23.34,24.26,23.63,24.14
168,2021-06-02,22.82,24.84,24.45,23.02
167,2021-06-01,22.36,23.3499,23.06,23.19
166,2021-05-28,22.76,24.75,22.95,23.0
165,2021-05-27,21.65,22.7,22.7,22.01
164,2021-05-26,21.49,22.24,22.12,21.58
163,2021-05-25,21.28,22.11,21.48,21.42
162,2021-05-24,20.675,21.52,21.22,21.06
161,2021-05-21,20.47,21.16,20.75,20.84
160,2021-05-20,20.28,20.81,20.61,20.75
159,2021-05-19,19.94,21.035,20.67,20.1
158,2021-05-18,20.26,21.62,21.24,20.52
157,2021-05-17,19.63,20.49,20.46,19.73
156,2021-05-14,18.53,20.2,20.08,18.82
155,2021-05-13,17.82,19.47,18.37,19.14
154,2021-05-12,18.51,20.0,18.89,20.0
153,2021-05-11,17.055,20.3,20.21,17.2
152,2021-05-10,18.18,19.3,18.47,19.28
151,2021-05-07,19.58,20.75,19.75,20.3
150,2021-05-06,19.41,21.02,20.09,21.02
149,2021-05-05,20.97,21.94,21.15,21.81
148,2021-05-04,20.87,22.2,21.64,21.94
147,2021-05-03,22.21,23.08,22.3,23.01
146,2021-04-30,22.84,23.55,23.04,23.18
145,2021-04-29,22.81,24.14,23.37,23.87
144,2021-04-28,23.42,24.17,23.85,23.67
143,2021-04-27,23.57,24.26,23.88,24.17
142,2021-04-26,23.46,24.26,24.11,23.69
141,2021-04-23,22.74,23.55,23.41,22.89
140,2021-04-22,22.51,23.51,22.86,22.94
139,2021-04-21,21.43,22.64,22.63,21.65
138,2021-04-20,21.24,22.55,21.78,21.96
137,2021-04-19,21.53,22.33,21.94,22.15
136,2021-04-16,22.3,23.26,22.47,22.86
