,Date,Low,High,Close,Open
520,2021-10-12,141.55,147.25,145.59,143.99
519,2021-10-11,138.3899,144.18,141.96,139.005
518,2021-10-08,140.1,143.91,140.32,143.18
517,2021-10-07,142.07,146.05,142.1,143.56
516,2021-10-06,140.2126,146.1464,143.31,140.87
515,2021-10-05,137.2,142.565,141.89,137.23
514,2021-10-04,134.63,143.59,137.1,143.59
513,2021-10-01,140.885,145.3,144.69,142.02
512,2021-09-30,138.82,142.73,141.35,138.98
511,2021-09-29,136.55,140.47,138.14,138.82
510,2021-09-28,135.39,139.8866,137.4,138.86
509,2021-09-27,139.93,145.98,142.0,145.57
508,2021-09-24,143.59,147.94,147.32,146.3
507,2021-09-23,146.36,150.67,147.5,150.67
506,2021-09-22,145.46,149.57,148.69,145.83
505,2021-09-21,142.11,146.2515,145.38,143.32
504,2021-09-20,137.59,143.34,142.25,138.6
503,2021-09-17,141.91,145.86,143.13,144.93
502,2021-09-16,138.87,144.63,144.14,139.19
501,2021-09-15,136.8708,139.21,139.11,137.49
500,2021-09-14,134.5,138.5705,138.12,135.72
499,2021-09-13,131.39,138.22,135.23,137.28
498,2021-09-10,136.87,142.79,137.15,141.74
497,2021-09-09,139.15,143.12,140.9,140.0
496,2021-09-08,133.03,141.14,139.57,136.03
495,2021-09-07,135.76,138.8339,137.36,138.18
494,2021-09-03,136.42,139.53,138.06,137.22
493,2021-09-02,135.181,137.355,137.09,136.63
492,2021-09-01,135.71,139.68,135.77,138.08
491,2021-08-31,134.73,138.12,137.8,136.99
490,2021-08-30,134.2101,138.47,136.63,135.61
489,2021-08-27,131.6,136.65,134.84,131.865
488,2021-08-26,131.23,139.1734,131.3,135.09
487,2021-08-25,134.2948,136.78,135.63,135.45
486,2021-08-24,133.23,137.66,135.48,133.7
485,2021-08-23,129.84,132.8,132.5,131.07
484,2021-08-20,129.04,132.87,131.15,131.71
483,2021-08-19,129.6844,137.11,132.42,131.3
482,2021-08-18,131.13,134.5199,132.68,133.0
481,2021-08-17,131.035,134.19,133.0,132.625
